Fiat,500x,Carwow && Whatcar,Negative,Negative,Negative,Positive,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Positive,Negative,low,Negative
Fiat,600,Carwow && Whatcar,Neutral,Not mentioned,Positive,Negative,Negative,Negative,Neutral,Not mentioned,Not mentioned,Negative,Negative,Negative,low,Positive
Fiat,600e,Carwow && Whatcar,Negative,Positive,Positive,Negative,Neutral,Negative,Negative,Negative,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Neutral,Very high
Fiat,Panda,Carwow && Whatcar,Negative,Positive,Neutral,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
Fiat,Panda-4x4,Carwow && Whatcar,Positive,Positive,Negative,Positive,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,low,Negative
Fiat,Panda-cross,Carwow && Whatcar,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Not mentioned,Negative,Positive,Negative,Low,Negative
Fiat,Qubo,Carwow && Whatcar,Negative,Positive,Negative,Neutral,Positive,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium
Fiat,Tipo,Carwow && Whatcar,Negative,Positive,Neutral,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Not mentioned,Not mentioned,Very high,Negative
MG,4-Xpower,Carwow && Whatcar,Negative,Not mentioned,Positive,Positive,Neutral,Negative,Neutral,Not mentioned,Not mentioned,Negative,Negative,Not mentioned,very high,Negative
MG,MG,Carwow && Whatcar,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Not mentioned,Negative,Negative,Negative,Negative,Low,Negative
MG,GS,Carwow && Whatcar,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Not mentioned,Negative,Negative,Negative,low,Negative
MG,HS,Carwow && Whatcar,Positive,Positive,Negative,Neutral,Not mentioned,Low,Positive,Negative,Negative,Not mentioned,Negative,Positive,Very high,Positive
MG,MG-4,CarWow && Whatcar,Positive,Positive,Negative,Neutral,Positive,Positive,Negative,Not mentioned,Safety,Quality of construction,Noise,Engine,low,Overall
MG,S5-ev,Carwow && Whatcar,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Not mentioned,Positive,Positive,Positive,Medium,Positive
MG,zs,Carwow && Whatcar,Negative,Positive,Negative,Negative,Negative,Neutral,Not mentioned,Not mentioned,Not mentioned,Positive,Positive,Negative,low,Negative
Peugeot,2008,Carwow && Whatcar,Positive,Negative,Neutral,Positive,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Medium,High,Positive
Peugeot,208,CarWow && WhatCar,Positive,Quality of interior,Infotainment system,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
Peugeot,3008,CarWow && Whatcar,Price,Quality of interior,Infotainment system,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
Peugeot,308,Carwow && Whatcar,Neutral,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Peugeot,308-sw,Carwow && Whatcar,Negative,Negative,Positive,Negative,Negative,Neutral,Not mentioned,Not mentioned,Not mentioned,Negative,Negative,Negative,high,Negative
Peugeot,408,Carwow && Whatcar,Neutral,Positive,Negative,Positive,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Positive,Negative,high,Negative
Peugeot,5008,Carwow && Whatcar,Positive,Positive,Negative,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Peugeot,508,Carwow && Whatcar,Negative,Positive,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Negative,Negative,Positive,Negative,Positive,Overall
Peugeot,e-2008,Carwow && Whatcar,Positive,Negative,Neutral,Positive,Positive,Neutral,Not mentioned,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Negative
Peugeot,e-208,CarWow && Whatcar,Positive,Negative,Neutral,Comfort,Positive,Neutral,Not mentioned,Negative,Negative,Not mentioned,Neutral,Engine,high,Positive
Peugeot,e-308,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium-high,Positive
Peugeot,e-308-sw,Carwow && Whatcar,Positive,Positive,Negative,Neutral,Positive,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Neutral,Very high,Positive
Peugeot,e-408,Carwow && Whatcar,Negative,Negative,Negative,Positive,Negative,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Medium,low,Positive
Peugeot,e-5008,CarWow && Whatcar,Negative,Not mentioned,Neutral,Positive,Positive,Neutral,Positive,Neutral,Positive,Negative,Not mentioned,Not mentioned,Low,Positive
Peugeot,e-rifter,Carwow && Whatcar,Negative,Not mentioned,Neutral,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Not mentioned,Not mentioned,low,Negative
Peugeot,e-traveler,Carwow && Whatcar,Neutral,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Neutral,Neutral,Neutral,Neutral,Neutral,Medium,Positive
Renault,5-e-tech,CarWow && Whatcar,Positive,Positive,Not mentioned,Positive,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive
renault,arkana,carwow && whatcar,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Neutral,Negative,Not mentioned,Engine,medium,Overall
Renault,Austral,Carwow && Whatcar,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Not mentioned,very high,Negative
Renault,Captur,Carwow && Whatcar,Positive,Positive,Negative,Neutral,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Negative,Negative,medium,Positive
Renault,Clio,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Renault,Kadjar,Carwow && Whatcar,Negative,Positive,Neutral,Negative,Positive,Neutral,Negative,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Negative,very high,Negative
Renault,Koleos,Carwow && WhatCar,Positive,Negative,Neutral,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
Renault,Megane,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Renault,Megane-etech-electric,Carwow && Whatcar,Negative,Positive,Neutral,Negative,Negative,Positive,Positive,Negative,Positive,Negative,Negative,Not mentioned,Price is low,Positive
Renault,Rafale,Carwow && Whatcar,Positive,Quality of interior,Infotainment system,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
Renault,Scenic,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,low,Positive
Renault,Scenic-e-tech,Carwow && Whatcar,Positive,Negative,Neutral,Positive,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Renault,Symbioz,Carwow && Whatcar,Negative,Not mentioned,Neutral,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,high,Negative
Renault,Twingo,Carwow && WhatCar,Negative,Positive,Neutral,Negative,Positive,Neutral,Not mentioned,Negative,Not mentioned,Not mentioned,Not available,Not available,high,Overall
Renault,Zoe,Carwow && Whatcar,Positive,Negative,Neutral,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,low,Positive
Volkswagen,Golf,Carwow && Whatcar,Positive,Negative,Neutral,Positive,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,low,Positive
Volkswagen,ID3,Carwow && Whatcar,Negative,Positive,Neutral,Negative,Negative,Neutral,Not mentioned,Neutral,Neutral,Negative,Neutral,Neutral,high,Positive
Volkswagen,ID4,CarWow && Whatcar,Positive,Negative,Neutral,Not mentioned,Positive,Positive,Negative,Negative,Positive,Positive,Neutral,Positive,high,Negative
Volkswagen,ID7-Tourer,Carwow && Whatcar,Negative,Positive,Neutral,Negative,Negative,Negative,Neutral,Not mentioned,Negative,Negative,Negative,Not mentioned,Low,Negative
Volkswagen,Passat,Carwow && Whatcar,Positive,Positive,Neutral,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Medium,very high,
Volkswagen,Polo,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Volkswagen,TCross,CarWow && Whatcar,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
Volkswagen,T-Roc,Carwow && Whatcar,Neutral,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
Volkswagen,Tiguan,Carwow && Whatcar,Positive,Positive,Neutral,Positive,Positive,Negative,Positive,Positive,Positive,Not mentioned,Not mentioned,Positive,Low,Positive
Volkswagen,Touareg,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
