brand,model,text,source
renault,scenic-e-tech,"Is the Renault Scenic E-Tech a good car? The Renault Scenic has been resurrected, and this time it’s ditched the dowdy MPV body in favour of being a chic, modern electric SUV. It’s a bit like when Zac Efron dropped his floppy-haired Disney kid look in favour of the gym-obsessed heartthrob appearance he has today. And chic the Scenic must be to stand out, because there are dozens of similarly sized electric SUVs vying for a spot on your shopping list, such as the Skoda Elroq, Hyundai Ioniq 5 and Peugeot E-3008. There’s also the excellent Kia EV3, which is a bit smaller and cheaper, but well worth considering. The quick win goes to the Renault Scenic, because it really does look good. At the rear you get chunky tail lights that drop down at the sides and make the car look really wide, as well as a simple but effective bumper design. Up front there are slim headlights and a fake grille with a cool gradient effect. Renault Scenic E-Tech: electric range, battery and charging data Range: 260 miles - 379 milesEfficiency: 3.6 - 3.7mi/kWhBattery size: 60kWh / 87kWhMax charge speed: 130kW / 150kWCharge time AC: 9hrs 51mins, 0-100, 7.4kW / 13hrs, 0-100%, 7.4kWCharge time DC: 32mins, 15-80%, 130kW / 37mins, 15-80%, 150kWCharge port location: Right side frontPower outputs: 170hp / 220hp The interior isn’t as immediately striking as the exterior, but it has a simple but smart appearance and there are some nice colours and materials for the upholstery, while the infotainment system is slick and easy to use. However, there are plenty of cheap materials to be found. Fortunately this is made up for with practicality, because there’s loads of storage in the cabin, plenty of adjustability in the front seats and steering wheel, and a huge amount of space in the back that also makes it good for a child seat. The boot is a good size too – at 545 litres it’s bigger than most alternatives, including the Skoda Elroq. There’s no front boot like you get in the Hyundai Ioniq 5, either. There’s a lot to love about the Renault Scenic. It’s practical, goes a long way between charges and offers great value for money. It’s a touch disappointing to drive, though Mat Watson Expert Car Reviewer It might be practical, but out on the road, the Renault Scenic is a touch disappointing to drive. It’s generally quite comfortable, but it can be a bit jiggly over bumps, particularly at lower speeds. Visibility isn’t great either, and the spongy brakes take some getting used to. Now, it’s not so bad in any of these areas that the Scenic is not worth considering, it just doesn’t really stand out in any area either. For day-to-day comfort, the Hyundai Ioniq 5 is tough to beat. There are two battery and motor combinations, with the entry level version offering a respectable range of 260 miles, while the larger (more expensive) battery can go up to 379 miles between charges, according to official figures – that makes it one of the longest-range electric cars on sale. If you like what you’ve read, find out how much you could save with Carwow’s Renault Scenic E-Tech deals. You can also browse used Scenic E-Techs as well as other used Renaults from our network of trusted dealers. And if you want to sell your car online, Carwow can help with that, too.",Carwow
renault,rafale,"Is the Renault Rafale a good car? The Renault Rafale is what happens when high-street brands start producing their own takes on designer fashion trends; looks great but it just isn't as posh as the bigger names. Think of it as a Weekday outfit to the Gucci BMW X4 and Hugo Boss Volvo EC40. Yet for its size and body shape it’s not a direct alternative to either of those cars, sitting somewhere in between the Germans and the cheaper Peugeot 3008 or less stylish - and electric-only - Skoda Enyaq Coupe. It’s not just in its positioning where the Rafale stands out, but in its styling too. It’s a head-turning car, with a tall, imposing front end, flanked by a pair of arrow-shaped LED running lights. The broad grille, aggressive headlights, sporty silhouette and sleek rear-end all give the Rafale a hint of baby Lamborghini Urus about it, if you squint. The interior is rather posh at a glance, but once you settle in, it’s not as luxurious as appearances suggest. The two-tier dashboard has a full-width vent detail across the passenger side and a driver-facing, portrait-oriented infotainment system. It’s mounted in the same wrap-around, driver-facing trim panel as the digital instrument cluster - and while it looks great, the gloss black detailing and air vents feel a bit cheap to the touch. The leatherette and suede on the seats, dashboard and door trims feel lovely though, and most of the high-up plastics are of the soft-touch variety. It’s a shame it’s a bit compromised, because the Renault Rafale is a great-looking car Mat Watson Expert Car Reviewer Boot space is good, and while the plug-in hybrid model loses out on some boot space, the regular model has more boot capacity than a Peugeot 408 and Cupra Formentor. The parcel shelf feels flimsy, and the seats don’t fold completely flat either, which is annoying. You can choose from a 200hp self-charging hybrid powertrain or a more powerful, 300hp plug-in hybrid (PHEV), both with the same 1.2-litre engine under the bonnet. The more powerful engine suits the car’s character better, and it’s a great choice for company car buyers due to its low benefit-in-kind tax rate. Driving the Rafale is a mixed bag, because while the optional four-wheel steering and responsive controls make for good progress in town, it’s far too stiff over small bumps - and bouncy over big ones. The same applies to ruts and dips on the motorway, and the road noise is far too intrusive at speed. Country lanes are better, as the darty steering, lack of body lean and tremendous levels of grip from its huge tyres are all reassuring when hustling down a back road. It’s just a shame that the steering wheel doesn’t give you much sense as to what the front wheels are doing, and the 1.2-litre engine is gruff when accelerating. As a sporty, alternative choice to the typical German or Scandinavian fare, the Rafale is worth a look, and you can find new Renault Rafale deals on Carwow. There are Renault Rafale lease deals too, as well as used Renault Rafales available through our network of trusted dealers. For something a little smaller, there are other used Renaults for sale, and Carwow can even help you sell your car when it’s time to switch.",Carwow
renault,twingo,"Is the Renault Twingo a good car? The Renault Twingo is the smallest car that Renault makes and it’s an alternative to other little city slickers, such as the Volkswagen Up, Toyota Aygo and Hyundai i10. However, if you’re familiar with previous generations of the Twingo, this is something very different. It was developed alongside the Smart ForFour, so this latest version is a rear-engined, rear-wheel drive car – a layout that has real benefits in terms of how much space the car has inside and how easy it is to drive around town. Mind you, there’s no sign of that revolutionary (for a city car) layout from the outside. That said, the car certainly looks very distinctive and, as with most little cars these days, there’s lots of scope for the owner to personalise their car. Everything from the colour of the paint to the alloy wheels can be tailored to your wishes, while you can also add on extra decals to make your car stand out. Inside, too, the contrasting colours and strong design inject a bit of fun into the experience. And, as long as you avoid the base model, you can add a few more touches of personalisation. One more clever touch is that Renault has an app that you can install on your smartphone. You then clip it into a cradle in the car, giving you an instant touchscreen, which you can use to control the sat-nav, phone and stereo. If you want a larger touchscreen, you can fit the optional R-Link system, which has an integrated 7.0-inch screen, through which you control the various parts of the infotainment system. Where the Renault Twingo really stands out from the alternatives is how much room it has inside. Four adults can fit with ease and getting in and out is not the contortionist’s feat it can be in some small cars. Mind you, the optional fabric sunroof reduces the available headroom quite significantly, so be sure that won’t be a problem before ticking that box. That excellent cabin space is thanks to having the engine at the back, but there are some compromises with that layout. Most obviously, as the engine sits below the boot floor, the boot capacity is only 188 litres, which is a little less than you’ll find in an Up, for example. When I read that the Twingo was going to be a small, rear-engined, rear-wheel car, I was really excited. Then I drove it. What a disappointment. Mat Watson Carwow expert You can increase this by putting the rear seat backs up to 90 degrees, which isn’t especially comfortable, but there’s also around 50 litres of storage dotted around in the cabin too in various pockets and bins. You can also fold the front passenger seat flat and the Renault Twingo will accept loads up to 2.3-metres long. The one thing that the rear-engined layout doesn’t do is to turn the Twingo into some sort of mini-Porsche 911 supercar, which famously shares the same arrangement. In fact, this doesn’t feel like a particularly sporty car to drive at all – but it’s not without its benefits. For example, with no engine at the front of the car, the nose feels a lot lighter. And, because the car is rear-wheel drive, the front wheels can turn further than in a front-wheel drive car, giving a very tight turning circle. As a result, the car is wonderfully easy to manoeuvre around town and get into the smallest parking spaces. However, on the open road, it’s not the most enjoyable little car to drive. In part, that’s because the stability control system is a little over-eager to get involved when the driver gets a little keener and starts to tackle bends a bit more quickly. Likewise, the Twingo isn’t the most comfortable little car, especially the models with larger wheels fitted. The VW Up and Hyundai i10 both have a more settled and more mature feel on the road. As is often the case with these small cars, there’s only a small range of engines to pick from. So, if you want a Twingo, you can only choose between two engines: a 1.0-litre unit with 70hp and a more powerful 0.9-litre turbo, with 90hp. The 1.0-litre unit is enough if you spend most of your time driving around town, but it’s worth going for the stronger unit if you plan on making longer journeys beyond the city limits. No matter where you’re heading, you’ll be pleased to know that the Renault Twingo has a reasonable four-star rating from Euro NCAP, which is pretty much identical to what you’ll find in most alternatives. Less happily, the Renault Twingo costs a bit more than the most obvious alternatives, but every model comes well equipped – with DAB radio, front electric windows, split folding rear seats, LED daytime running lights, a tyre pressure monitoring system and USB connectivity. Despite that high level of standard equipment and generous space for passengers, the Twingo is hard to recommend over the alternatives. It’s a little on the pricey side at the bottom end of the range and, while the more expensive models (with the stronger engine) make more sense, they cost as much as larger vehicles that offer far more space.",Carwow
renault,megane,"Is the Renault Megane a good car? This version of the Renault Megane first came on sale in 2016 but received a range of updates in 2018, including improvements to the infotainment system and more space for passengers. The Megane is similar in size to the Hyundai i30, Kia Ceed and Ford Focus, but also shares a lot of parts with the Renault Kadjar SUV. The Renault Megane’s interior looks simpler than in most alternatives so most of the buttons are easy to locate. High-spec models also get a portrait-style infotainment system, similar to what you’d find in more expensive Volvo cars. The rest of the cabin is well put together and has some silver accents to break up the otherwise all-black colour scheme. Getting a good driving position is easy even in the entry-level Renault Megane because they get height-adjustable front seats as standard. You can also set the seat nice and low for a sporty feel and front seat passenger space is good. Accessing the rear seats is easy thanks to wide-opening doors and you can fit two adults without much hassle – three would be a push, because the middle rear seat is narrower than the outer two. In terms of practicality, the Renault Megane’s boot is just about big enough for a week’s holiday worth of luggage and the opening is wide enough so you won’t have problems loading bulky items. However, some alternatives, such as the Kia Ceed, have a lower load lip making them even more practical. The Renault Megane won’t wow you with a sporty drive, but you’ll be impressed by how comfortable it is. Mat Watson Carwow expert There are two engines to choose from in the Renault Megane range so picking the right one is easy. The 140bhp petrol is hushed on the move and feels best darting around city streets. The 115bhp diesel is perfect for longer motorway journeys where it settles nicely into a cruise and uses very little fuel. Driving the Renault Megane feels best on the motorway. Once up to speed there’s little wind noise and the Megane absorbs bumps very well. That isn’t to say it’s not good around town – there, the quick steering helps you dart in and out of traffic with confidence, however the manual gear shift is notchy and not that pleasurable to use. No matter if you drive in town or on the motorway, the Renault Megane is a safe car. It was awarded the full five stars from EuroNCAP and, as standard, you get essentials such as airbags, an advanced stability control system and hill-hold assist. Mid-range models also get lane departure warning, traffic sign recognition and automatic high-low beam as standard.",Carwow
renault,kadjar,"Is the Renault Kadjar a good car? The Renault Kadjar is the French firm’s contender in the big-selling family SUV category. These cars sell in huge numbers these days because they’re more spacious than a conventional hatchback with a higher driving position, although they cost a bit more to run. Think of the Renault Kadjar as a Nissan Qashqai with a little more je ne sais quoi and you won’t go far wrong, because underneath it shares much of its running gear with the Japanese car. The Renault Kadjar looks a lot more imposing on the outside than a hatchback such as the VW Golf or Renault Megane. It comes with large alloy wheels, a smattering of chrome trim and plenty of contrasting black trim on the bumpers and wheel arches so it’ll have no trouble standing out on the school run. Sadly, the Renault Kadjar’s interior isn’t quite as eye-catching as that in some other SUVs. Sure, it has plenty of soft plastics and a few brushed metal trims, but the Kia Sportage looks more exciting while the VW Tiguan feels more solidly put together. It comes with a good deal of equipment though, you get a digital driver’s display as standard, alongside a touchscreen infotainment system. It all looks pretty flash, but using the built-in sat nav is a bit trickier than in alternatives – a bit like paying for something with cash rather than using your contactless bank card. You could be forgiven for thinking the Kadjar looks a bit like a Qashqai – they’re essentially the same car, although the Nissan is more comfortable and the Renault’s a bit roomier Mat Watson Expert Car Reviewer At least you’ll be sitting comfortably while you fiddle with the Renault Kadjar’s touchscreen. You get plenty of seat and steering-wheel adjustment as standard and there’s enough space for you to stretch out if you’re tall. It’s a similar story in the back where there’s room for three adults, but you don’t get any clever sliding seats like in the Skoda Karoq. The boot’s roomy enough for everyone’s luggage, though, and the flat boot floor makes it easy to slide in heavy luggage. There’s a 138hp petrol engine which provides a good mix of performance and efficiency, and you can option it with an automatic transmission rather than the manual to help take the stress out of town driving. Whichever transmission you pick, you’ll find the Renault Kadjar is pretty comfortable to drive. It doesn’t quite iron out bumps as well as the Nissan Qashqai, but it’s more relaxing than the Kia Sportage and Hyundai Tucson and doesn’t lean a great deal in tight corners. Unfortunately, the Kadjar is a little noisy to drive at motorway speeds. This isn’t because of its engine, rather you’ll hear quite a lot of wind and tyre noise. To help make things a bit more relaxing, you can get it with a range of driver assistance systems from automatic emergency braking and cruise control to lane-departure warning. All this makes the Renault Kadjar pretty easy to live with every day. It’s certainly an SUV that’s well worth considering if you’re looking for something that’s easy to drive, practical and pretty well equipped. Head over to the deals page to find some great deals on a brand new SUV, and if you're wanting a used Renault Kadjar then we have a great range of second-hand ones to choose from.",Carwow
renault,scenic,"Is the Renault Scenic a good car? Considering how boring the old model was, the new Renault Scenic makes for a welcome a dose of continental fresh air. It’s an imposing car to look at – it’s 20mm wider than the car it replaces and comes as standard with two-tone paint and blingy 20-inch alloy wheels that look, well, fantastic! Those looks couldn’t come at the expense of practicality, though, so the Renault has a big boot, cubbyholes and under-seat bins that provide 63 litres of storage and one of the most elaborate gloveboxes we have ever seen. The engine range is extensive, too. Buyers can choose from five diesels, two petrols and a diesel-electric hybrid that returns fuel economy of 80.4mpg. Petrols are manual only, but diesels are available with a six-speed manual or a dual-clutch auto with the same number of gears. All models come with emergency city braking that works at speed of up to 31mph and can detect people (a class first), cruise control, two Isofix child-seat mounting points, a height adjustable driver’s seat and a Bluetooth phone connection. If you like the look of an SUV, but don't need the high ride height, the Scenic is perfect for you Mat Watson Carwow expert The Renault Espace was arguably the first MPV ever made and that expertise shows in this new Scenic. There’s much to like here, not least its cheap running costs and practical interior. Sure, the VW Touran is better to drive and the Citroen C4 Picasso is more comfortable, but the Scenic – much like the Espace – offers something genuinely unique here – stylish looks that don’t punish you for needing a practical car.",Carwow
renault,arkana,"Is the Renault Arkana a good car? If you fancy a sporty-looking coupe SUV, your only options used to be big, posh German cars like the BMW X4 and Mercedes GLC Coupe, but there are a couple of more reasonably-priced models out there now which offer similar sleek styling, one of these being the Renault Arkana. You can think of it as a slightly left-field alternative to cars such as the Skoda Karoq or the Nissan Qashqai. If those cars are a bowl of porridge for breakfast, the Arkana is more like a pain au chocolat. It may not be as sensible, but it’s a more exciting option. You may also be considering the Peugeot 408, which has bolder styling. The front end will be familiar from other Renaults thanks to the C-shaped LED running lights, and you get LED headlights on mid-spec cars and up. It’s the side profile that really sets the Arkana apart, with a swoopy coupe-esque roofline lending it a sporty edge over alternatives. This may look cool, however it doesn’t do much for interior space. While those up front won’t have any trouble getting comfortable, thanks to plenty of adjustment in the seats and steering wheel, the back seats aren't quite so accommodating. Headroom is pretty limited and there’s not much in the way of legroom either. A Skoda Karoq is a better bet for carrying people on a regular basis. It may not be the most practical cabin, but at least it's well made. There are plenty of plush materials to be found, and everything feels well screwed together. The metallic feeling dials for the climate control are a particularly welcome addition, however, the interior doesn’t have quite the same design flair as a Peugeot 408. At 480 litres, the boot is a decent size. It’s slightly bigger than a Peugeot 408 hybrid, but it’s a lot smaller than a Citroen C5 X and there are no clever features like a 12-volt socket or some hooks for your shopping bags. As for interior cubby spaces, you get an average glovebox and some large door pockets, but that’s pretty much it other than a pair of cupholders and a small cubby under the armrest. What the Arkana lacks in interior space, it more than makes up for in standard equipment Mat Watson Expert Car Reviewer What the Arkana lacks in interior space, it makes up for in standard equipment. Even entry-level Evolution models get a 7.0-inch touchscreen with Apple CarPlay and Android Auto and rear parking sensors with a reversing camera, but if you step up to the Techno model you get a better-looking 9.3-inch screen. As for engines, you have a choice of one. The Arkana comes only with a 1.6-litre full hybrid. If you’re after a diesel SUV, you’re out of luck here. Take a look at the Citroen C5 Aircross instead. The 145hp hybrid system should return a claimed 60mpg, however a week with the car in a mixture of driving conditions saw us return an average of 44mpg. Behind the wheel the Arkana isn’t as sporty to drive as the styling would suggest. A Ford Kuga will put a bigger smile on your face. The suspension is also quite firm, so driving on broken roads can become tiring. The Arkana is at its best on the motorway. It’s pretty smooth at speed, however the bigger wheels on the Esprit Alpine model do generate a bit of tyre noise. The Renault Arkana may not be the most practical SUV on the market, however, it’s still worth considering if you're after a sporty-looking SUV with plenty of standard equipment and a decent price tag. Keen on making a Renault Arkana your next car? Check out the latest Renault Arkana offers available through Carwow, as well as the best deals on the Renault line-up as a whole. Plus, we've got a wide selection of used Renaults, and once you've picked your next car, you can sell your car through Carwow too.",Carwow
renault,koleos,"Is the Renault Koleos a good car? The Renault Koleos SUV is basically the same underneath as the Nissan X-Trail. However, unlike the Nissan, which has the option of seven seats, the Renault comes only as a five-seater, making it an alternative to the Skoda Kodiaq, Ford Kuga and Honda CR-V. Unsurprisingly, the Koleos looks very like Renault’s other SUV, the smaller Kadjar, at the front, but with plenty of smarter trim and chrome to reflect its position higher in the company’s range. It’s a sensation that is continued inside, where the standard sunroof makes the cabin feel nice and airy. It’s all very smart, too, and the Koleos gets Renault’s R-LINK 2 infotainment system in either seven-inch landscape form or with an 8.7-inch portrait display. The latter comes as standard on top-of-the-range models and it’s pretty to look and simple to use, although you’ll sometimes find its directions hard to follow and it’s frustrating that you have to use it to make minor adjustments to the ventilation system. Interior quality is a mixed bag, too. Although there is stitched leather on the centre console’s grab handles, as well as shiny chrome trim pieces, the plastics look and feel cheaper than you would get in a Skoda Kodiaq. What’s not open to criticism is how much space there is inside the Koleos. As Renault hasn’t had to make room for a third row of seats, all five passengers are treated to acres of head and legroom. The small hump in the floor and wide rear seats means that, even with three in the back, everyone should be happy. The seats are all comfortable and, thanks to the wide range of adjustment on the driver’s seat and steering wheel, pretty much anyone can get a good driving position. Perhaps the biggest reason for choosing the Renault Koleos over the Kadjar is the size of the boot. Even with all five seats upright, the boot will take the best part of 600 litres, which is more than enough for most families. Drop the rear seats and you have almost 2,000 litres to play with. All very impressive… I just don’t get it. Why doesn’t Renault sell a Koleos with seven seats, like the Nissan X-Trail? With only five seats, this is just a bigger, more expensive Kadjar – and, if I was picking between the two, I’d always choose the cheaper car. Mat Watson Carwow expert With that in mind, it’s no surprise that the Koleos feels like a large car to drive, but that’s not necessarily a bad thing. Unless you’re in town, you’ll only feel the worst bumps, while it’s nice and quiet inside the cabin, even at high speeds. The suspension feels quite soft, as you would expect, but the body lean is reasonably well contained unless you’re cornering very quickly. Overall, though, a Skoda Kodiaq feels sharper to drive. There are just two engines to choose from – both diesel – and the more powerful 177hp 2.0-litre model comes as standard with four-wheel drive, a combination that actually makes the Koleos pretty handy off-road. Alternatively, to make life on-road a little easier, the same engine can also be specified with a CVT automatic gearbox that shifts smoothly and doesn’t cause the annoying drone you get in other gearboxes of this type. Overall, though, unless you want four-wheel drive or an automatic, the 130hp 1.6-litre diesel feels pretty much as quick as the more powerful engine in everyday use and should return close to 50mpg if driven carefully. For most people, it’ll be the best engine to choose, especially as it’s the cheaper option in a range that looks quite expensive. On the other hand, there is some justification for the high price, as the car comes with lots of equipment as standard. That includes a full-length glass roof, sat-nav, part-leather seats, ambient lighting and cup holders that can heat or cool drinks. Last, but not least, the car also scored a full five stars in Euro NCAP safety tests, which is just what any parent will want to see in a family car. Overall, the Koleos is worth considering if you want an extremely comfortable SUV with a big boot, but don’t need seven seats. Its off-road ability and generous standard equipment are further attractions, but some of the alternatives feel better built, are more fun to drive and give you the option to specify seven seats.",Carwow
renault,zoe,"Is the Renault Zoe a good car? The Renault Zoe is a small electric car with a decent range that’s an alternative to models such as the Mini E and Peugeot e-208. The Zoe has been around for a while now, but gets regular updates, so it’s a bit like an iPhone in that it looks mostly unchanged year after year, yet contains the very latest technology. The current model’s latest updates include a few more air intakes than its predecessor – some of which help guide air past the front wheels to help reduce drag and maximise range – and a set of full-LED headlights. Renault has given the Zoe’s brake lights the LED treatment too; ditching the old car’s blue lens coating in the process. More exciting than this, however, is what lies inside. There’s a super-slick dashboard layout, a classy infotainment system and a digital driver’s display as standard. You can even get the dashboard trimmed in some whale-friendly recycled material made from old plastic bottles. EV Range Test: Honda e v Mini Electric v Peugeot e-208 v Renault Zoe v Vauxhall Corsa Electric v Volkswagen e-Up Thankfully, the Renault Zoe is really comfortable inside – in the front, at least. Those in the back will feel pretty hemmed-in if they’re close to six-feet tall and there isn’t enough shoulder room to carry three adults. Chances are, you won’t be using your dinky electric city car for lugging heavy loads. Rather, you’ll be nipping through rush-hour traffic – something the Zoe feels born to do. You get a good view forward thanks to its large windows, and the light controls make tight turns a doddle. The new Renault Zoe is capable of more than just trips to the shops, though. With its batteries fully brimmed – which takes three hours from empty using a public 22kW charger – you’ll be able to travel up to 239 miles. Charging at home using the standard 7 kWh setup will take just over nine hours. However, a 30-minute charge using a 50kW fast charger will give you 90 miles of range. This fast- charging feature is optional on the base trim and standard on the top version. The Renault Zoe doesn’t rely on gimmicks like some electric cars. Instead, it focuses on being affordable, having a good range and, being surprisingly fun to drive – for a small electric car Mat Watson Expert Car Reviewer It’s pretty perky for a small car, too, so you’ll have no issue scooting away from junctions or overtaking sluggish lorries. That said, the Renault Zoe doesn’t make a particularly good motorway cruiser. Sure, its electric motor is much quieter than a petrol or diesel engine, but you’ll still hear a fair amount of wind and tyre noise at speed. You do at least get cruise control to make long journeys a bit more bearable. Another point to consider is the rather poor Euro NCAP retested safety rating it received in 2021. You shouldn’t let this put you off, though. The Renault Zoe is a very capable small electric car that comes with decent range and peppy performance, and recent updates mean you get a pretty impressive amount of standard kit, too. Just don’t go trying to carry tall adults in the back. Head over to our Renault Zoe deals page to see how much you can save or take a look at our used Renault Zoe deals.",Carwow
peugeot,208,"Is the Peugeot 208 a good car? The latest Peugeot 208 is an extensive facelift of the second-generation car, first launched in 2019. The newest model brings the car’s styling right up to date and adds an in-vogue hybrid engine as a sort of halfway house between a pure petrol model and the all-electric E-208. What it doesn’t change is what’s great about the 208 - its sense of style, lovely interior and chuckable chassis which make it a pleasure to drive. In many ways the 208 is like the designer handbag of the small hatchback world - it’s not as practical as some of the alternatives, but it’s handsome, glamorous and feels good to own. There are some really strong options available as alternatives, though. The Renault Clio is just as good-looking and offers a huge boot, nice interior and super-efficient engines. The Toyota Yaris offers a ten-year-warranty and proven hybrid engine, and the Volkswagen Polo is solid, posh and with an unmatched image. The 208’s style stands out from the crowd. It’s small, with a squat stance and intricate detailing that makes it look really glitzy even as a low-spec model. The front is dominated by Peugeot’s distinctive ‘three-claw’ LED daytime running lights, the line of which continues up into the headlights - you get a similar effect at the rear. The new Peugeot badge sits on a grille with body-coloured flashes, and round the side you even get a shortened rear window line which is a call back to the iconic 205. Inside, the 208 is the equal of any premium car in terms of its quality and design. There’s a new 10.0-inch touchscreen sat high up, with a clear display, responsive interface and Apple CarPlay and Android Auto included as standard. Material quality is high throughout, and you can feel that on the soft-touch dashboard with a woven finish or the row of piano key-style switches above the gear lever. The Peugeot 208 is the first small car to offer petrol, diesel and electric options. If you have access to charging at home or work, the EV is a superb choice Mat Watson Expert Car Reviewer It’s not particularly roomy, though. A Renault Clio has a much bigger boot than the 208’s 311 litres, and a Skoda Fabia is far better for accommodating rear passengers. Even the 208’s front seats aren’t the best for very tall drivers, which is a shame. You also get Peugeot’s unique i-Cockpit layout, which means the shrunken steering wheel sits low and you view the dials over the top of it, rather than through the rim. Though this is divisive, it can be very comfortable - and the tiny wheel makes the 208 feel darty and responsive to drive. There are three engine options available for the 208. The entry-level car comes with a 1.2-litre petrol engine with a six-speed manual gearbox, or you can have a 1.2-litre hybrid automatic in two power outputs. Whichever you choose, you can expect good efficiency and a really nice refined drive. The 208 is comfortable on the motorway, feels darty and nimble around town and can even be quite fun on a twisting back road. The challenge is that a Renault Clio is arguably the more fun car and has a wider breadth of talents, while a Toyota Yaris will be even cheaper to run. But the 208 doesn’t remotely embarrass itself out on the road. If the 208 catches your eye, then you can nab yourself one for a great price by looking at our best Peugeot 208 deals. You can also browse deals on other Peugeot models here, or click here to find a used Peugeot for sale. And remember, Carwow’s the place to be if you need to sell your car.",Carwow
peugeot,e-208,"Is the Peugeot E-208 a good car? The Peugeot E-208 has had a facelift, updating the all-electric hatchback with a fresh look, a bigger battery and a more powerful electric motor. This makes it a much more competitive small EV, and much easier to consider against great electric cars such as the Mini Cooper Electric, the MG4 and the Cupra Born. An immediate plus point the E-208 has going for it is its size. It’s the same size as the regular petrol 208, so it’s quite a bit smaller than most EVs. If you want something nippy and compact, perfect for city driving, the E-208 is your best bet this side of a Fiat 500 Electric. Peugeot E-208: electric range, battery and charging data Range: 217 - 245 milesEfficiency: 4.3 - 4.5 mi/kWhBattery size: 50 - 54kWhMax charge speed: 100kWCharge time AC: 0 - 100% 7hr 45mCharge time DC: 20 - 80% 25mCharge port location: Rear leftPower outputs: 136 - 156hp It’s also quite sensible and pragmatic, despite its posh outward appearance and high-tech cabin. In that regard it’s a bit like putting a fancy phone case on your work phone - yes, it looks good, but it’s all business where it counts. For 2024 Peugeot upgraded the E-208’s exterior looks. But part of the appeal is that there’s very little to mark it out as an electric car - if you didn’t spot the green flash on the number plate or the discreet ‘E’ badging, you’d think it was just a regular petrol 208. It does look smart, though, with distinctive ‘triple-claw’ LED daytime running lights front and rear, smart diamond-cut alloy wheels and even a homage to the old Peugeot 205 in the shape of its rear window. That compact silhouette hides an interior that is a bit tighter than the class best. The rear seats are quite cramped, and even the front seats aren’t the best for very tall drivers. The boot, though quite roomy at 311 litres, can’t compete with larger cars of a similar price, such as the 363-litre MG4 EV and the 385-litre Cupra Born. The E-208 is at least much more roomy than the Mini Cooper Electric - and its dashboard has a similar wow factor, too. It’s beautifully built, with lots of squashy, high-quality materials, and the 10.0-inch touchscreen that sits on the top is clear, responsive and quite easy to use. Other nice touches include the row of piano-style keys underneath the screen, while Peugeot’s i-Cockpit dial layout is present and correct - though it still won’t suit everybody’s driving position. The E-208 is a great-looking small EV which is really efficient on its battery - but you can get bigger cars with a better range for less money Mat Watson Expert Car Reviewer You get a choice of two battery and motor combos. The entry-level is the same one the E-208 was offered with at launch in 2019 - a 50kWh battery and 136hp electric motor. The newer variant of this has 54kWh and 156hp to play with - not a big boost, but huge improvements in efficiency mean this is by far the best option to select. To drive, the E-208 isn’t as rapid as an MG4 or a Cupra Born, and as a result it doesn’t feel too dissimilar to the regular petrol automatic 208. It’s great to drive in town thanks to compact dimensions and quick steering, though the aforementioned MG and Cupra are more entertaining to drive on a twisty road mainly thanks to their rear-wheel drive chassis. But if you want a good-looking small electric car with a standout interior, check out our best Peugeot E-208 deals here. You can browse great deals on other Peugeot models here, or find a used Peugeot for sale here. And remember to consider Carwow when you come to sell your old car - our network of trusted dealers will ensure you get the best possible price.",Carwow
